
Edison Startup at: 
Tue Sep 15 17:01:12 2015
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0331246
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0488981
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0646721
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0646721
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0646721
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.111994
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.111994
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.111994
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.111994
Calculated UV Intensity (mW/cm^2): 0.111994
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.111994
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.0962197
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0804457
Calculated UV Intensity (mW/cm^2): 0.0962197
